date,level,x,y,z
2023/02/28 14:01:10,logs_a,3.37,0.87,0.91677592870.174656
2023/02/28 14:01:10,logs_a,4.94,7.58,2.161677592870.175706
2023/02/28 14:01:10,logs_a,2.04,5.4,-7.31677592870.176664
2023/02/28 14:01:10,logs_a,5.25,9.09,0.071677592870.177600
2023/02/28 14:01:10,logs_a,-9.37,8.67,4.771677592870.178598
2023/02/28 14:01:10,logs_a,-6.95,2.38,2.21677592870.179618
2023/02/28 14:01:10,logs_a,1.25,9.66,2.221677592870.180574
2023/02/28 14:01:10,logs_a,-0.8,12.73,0.71677592870.181514
2023/02/28 14:01:10,logs_a,-0.07,0.02,0.011677592870.269759
2023/02/28 14:01:10,logs_a,0.05,0.01,-0.051677592870.271074
2023/02/28 14:01:10,logs_a,2.14,1.83,-1.941677592870.272154
2023/02/28 14:01:10,logs_a,3.11,0.94,1.741677592870.273160
2023/02/28 14:01:10,logs_a,-8.38,4.19,-10.561677592870.274203
2023/02/28 14:01:10,logs_a,1.23,9.57,2.051677592870.275202
2023/02/28 14:01:10,logs_a,-0.07,0.02,0.011677592870.373454
2023/02/28 14:01:10,logs_a,0.05,0.01,-0.051677592870.375160
2023/02/28 14:01:10,logs_a,3.37,0.82,0.941677592870.376515
2023/02/28 14:01:10,logs_a,3.15,0.76,1.851677592870.377704
2023/02/28 14:01:10,logs_a,1.87,2.73,-1.741677592870.378921
2023/02/28 14:01:10,logs_a,5.25,7.53,1.661677592870.380276
2023/02/28 14:01:10,logs_a,2.04,5.51,-7.251677592870.381478
2023/02/28 14:01:10,logs_a,-6.28,3.2,2.391677592870.382695
2023/02/28 14:01:10,logs_a,-0.07,0.02,0.011677592870.468596
2023/02/28 14:01:10,logs_a,0.05,0.01,-0.051677592870.470785
2023/02/28 14:01:10,logs_a,2.24,1.56,-2.051677592870.472164
2023/02/28 14:01:10,logs_a,3.39,1.06,0.671677592870.473368
2023/02/28 14:01:10,logs_a,1.25,9.91,0.621677592870.474627
2023/02/28 14:01:10,logs_a,-1.75,7.02,-11.981677592870.475880
2023/02/28 14:01:10,logs_a,-0.07,0.02,0.011677592870.572970
2023/02/28 14:01:10,logs_a,0.05,0.01,-0.051677592870.574734
2023/02/28 14:01:10,logs_a,3.13,0.21,1.981677592870.576010
2023/02/28 14:01:10,logs_a,-8.93,4.74,1.41677592870.577150
2023/02/28 14:01:10,logs_a,4.92,9.23,0.891677592870.578280
2023/02/28 14:01:10,logs_a,-0.79,12.45,2.371677592870.579439
2023/02/28 14:01:10,logs_a,-6.11,3.12,1.31677592870.580529
2023/02/28 14:01:10,logs_a,1.49,9.34,1.331677592870.581742
2023/02/28 14:01:10,logs_a,0.92,9.66,1.771677592870.582966
2023/02/28 14:01:10,logs_a,-2.18,9.43,-10.071677592870.584161
2023/02/28 14:01:10,logs_a,-0.07,0.02,0.011677592870.670533
2023/02/28 14:01:10,logs_a,0.05,0.01,-0.051677592870.672397
2023/02/28 14:01:10,logs_a,3.31,0.45,0.721677592870.673284
