date,level,x,y,z
2023/03/01 00:06:23,logs_a,{},1677629183.172988,{},[-3.19],{},[8.71],{},[0.04],{},[0.0],{}1677629183.173101
2023/03/01 00:06:23,logs_a,{},1677629183.281305,{},[-3.19],{},[8.71],{},[0.05],{},[0.0],{}1677629183.281395
2023/03/01 00:06:23,logs_a,{},1677629183.3915331,{},[-3.48],{},[8.6],{},[-0.05],{},[0.0],{}1677629183.391636
2023/03/01 00:06:23,logs_a,{},1677629183.5516558,{},[-3.19],{},[8.71],{},[-0.05],{},[0.0],{}1677629183.551756
2023/03/01 00:06:23,logs_a,{},1677629183.6627991,{},[-3.19],{},[8.71],{},[0.1],{},[0.0],{}1677629183.662886
2023/03/01 00:06:23,logs_a,{},1677629183.7691154,{},[-3.48],{},[8.6],{},[-0.0],{},[0.0],{}1677629183.769225
2023/03/01 00:06:23,logs_a,{},1677629183.8867154,{},[-3.19],{},[8.71],{},[-0.29],{},[0.0],{}1677629183.886827
2023/03/01 00:06:23,logs_a,{},1677629183.997434,{},[-3.19],{},[8.71],{},[0.07],{},[0.0],{}1677629183.997540
2023/03/01 00:06:24,logs_a,{},1677629184.1661732,{},[-3.19],{},[8.71],{},[0.12],{},[0.0],{}1677629184.166270
2023/03/01 00:06:24,logs_a,{},1677629184.2756612,{},[-3.19],{},[8.71],{},[-0.13],{},[0.0],{}1677629184.275755
2023/03/01 00:06:24,logs_a,{},1677629184.3847432,{},[-3.04, -3.19],{},[5.99, 8.71],{},[1.8, -0.06],{},[0.0, 0.0],{}1677629184.384846
2023/03/01 00:06:24,logs_a,{},1677629184.4929354,{},[-3.19],{},[8.71],{},[0.09],{},[0.0],{}1677629184.493025
2023/03/01 00:06:24,logs_a,{},1677629184.6589205,{},[-3.19],{},[8.71],{},[0.03],{},[0.0],{}1677629184.659010
2023/03/01 00:06:24,logs_a,{},1677629184.7665055,{},[-3.19],{},[8.71],{},[-0.32],{},[0.0],{}1677629184.766606
2023/03/01 00:06:24,logs_a,{},1677629184.8735912,{},[-3.19],{},[8.71],{},[-0.15],{},[0.0],{}1677629184.873686
2023/03/01 00:06:24,logs_a,{},1677629184.9821732,{},[-3.19],{},[8.71],{},[-0.19],{},[0.0],{}1677629184.982271
2023/03/01 00:06:25,logs_a,{},1677629185.0938761,{},[-3.19],{},[8.7],{},[-0.43],{},[0.0],{}1677629185.093969
2023/03/01 00:06:25,logs_a,{},1677629185.2023926,{},[-3.48],{},[8.6],{},[0.21],{},[0.0],{}1677629185.202492
2023/03/01 00:06:25,logs_a,{},1677629185.365143,{},[-3.19],{},[8.71],{},[-0.01],{},[0.0],{}1677629185.365244
2023/03/01 00:06:25,logs_a,{},1677629185.4742317,{},[-3.19],{},[8.71],{},[0.05],{},[0.0],{}1677629185.474340
2023/03/01 00:06:25,logs_a,{},1677629185.5859642,{},[-3.48],{},[8.6],{},[0.1],{},[0.0],{}1677629185.586098
2023/03/01 00:06:25,logs_a,{},1677629185.6962202,{},[-3.19],{},[8.71],{},[0.19],{},[0.0],{}1677629185.696309
2023/03/01 00:06:25,logs_a,{},1677629185.85717,{},[-3.19],{},[8.71],{},[0.11],{},[0.0],{}1677629185.857268
2023/03/01 00:06:25,logs_a,{},1677629185.9650943,{},[-3.19],{},[8.71],{},[0.0],{},[0.0],{}1677629185.965197
2023/03/01 00:06:26,logs_a,{},1677629186.0742838,{},[-3.19],{},[8.71],{},[-0.29],{},[0.0],{}1677629186.074380
2023/03/01 00:06:26,logs_a,{},1677629186.1831925,{},[-3.48],{},[8.6],{},[0.11],{},[0.0],{}1677629186.183297
2023/03/01 00:06:26,logs_a,{},1677629186.2921124,{},[-3.48],{},[8.6],{},[0.16],{},[0.0],{}1677629186.292236
2023/03/01 00:06:26,logs_a,{},1677629186.4006336,{},[-3.48],{},[8.6],{},[0.2],{},[0.0],{}1677629186.400755
2023/03/01 00:06:26,logs_a,{},1677629186.5651867,{},[-3.19],{},[8.71],{},[-0.11],{},[0.0],{}1677629186.565280
2023/03/01 00:06:26,logs_a,{},1677629186.680199,{},[-3.19],{},[8.71],{},[0.2],{},[0.0],{}1677629186.680302
2023/03/01 00:06:26,logs_a,{},1677629186.7895079,{},[-3.48],{},[8.6],{},[0.08],{},[0.0],{}1677629186.789612
2023/03/01 00:06:26,logs_a,{},1677629186.898334,{},[-3.19],{},[8.71],{},[0.03],{},[0.0],{}1677629186.898437
2023/03/01 00:06:27,logs_a,{},1677629187.0591054,{},[-3.19],{},[8.71],{},[0.0],{},[0.0],{}1677629187.059203
2023/03/01 00:06:27,logs_a,{},1677629187.1777108,{},[-3.19],{},[8.71],{},[0.23],{},[0.0],{}1677629187.177845
2023/03/01 00:06:27,logs_a,{},1677629187.2879605,{},[-3.19],{},[8.71],{},[0.15],{},[0.0],{}1677629187.288065
2023/03/01 00:06:27,logs_a,{},1677629187.399827,{},[-3.19],{},[8.71],{},[-0.09],{},[0.0],{}1677629187.399932
2023/03/01 00:06:27,logs_a,{},1677629187.5633333,{},[-3.48],{},[8.6],{},[-0.05],{},[0.0],{}1677629187.563433
2023/03/01 00:06:27,logs_a,{},1677629187.6900349,{},[-3.19],{},[8.71],{},[-0.08],{},[0.0],{}1677629187.690144
2023/03/01 00:06:27,logs_a,{},1677629187.7987955,{},[-3.19],{},[8.71],{},[-0.07],{},[0.0],{}1677629187.798909
2023/03/01 00:06:27,logs_a,{},1677629187.9647589,{},[-3.19],{},[8.71],{},[-0.06],{},[0.0],{}1677629187.964874
2023/03/01 00:06:28,logs_a,{},1677629188.0742345,{},[-3.19],{},[8.71],{},[0.14],{},[0.0],{}1677629188.074427
2023/03/01 00:06:28,logs_a,{},1677629188.1840594,{},[-3.19],{},[8.71],{},[0.15],{},[0.0],{}1677629188.184170
2023/03/01 00:06:28,logs_a,{},1677629188.2932606,{},[-3.19],{},[8.71],{},[-0.0],{},[0.0],{}1677629188.293355
2023/03/01 00:06:28,logs_a,{},1677629188.458819,{},[-3.19],{},[8.71],{},[-0.12],{},[0.0],{}1677629188.458929
2023/03/01 00:06:28,logs_a,{},1677629188.5661347,{},[-3.19],{},[8.71],{},[-0.2],{},[0.0],{}1677629188.566234
2023/03/01 00:06:28,logs_a,{},1677629188.680544,{},[-3.19],{},[8.71],{},[0.09],{},[0.0],{}1677629188.680680
2023/03/01 00:06:28,logs_a,{},1677629188.7901976,{},[-3.19],{},[8.71],{},[0.27],{},[0.0],{}1677629188.790308
2023/03/01 00:06:28,logs_a,{},1677629188.9021854,{},[-3.19],{},[8.71],{},[0.26],{},[0.0],{}1677629188.902288
2023/03/01 00:06:29,logs_a,{},1677629189.0645921,{},[-3.19],{},[8.71],{},[0.37],{},[0.0],{}1677629189.064684
2023/03/01 00:06:29,logs_a,{},1677629189.1733353,{},[-3.19],{},[8.71],{},[0.1],{},[0.0],{}1677629189.173464
2023/03/01 00:06:29,logs_a,{},1677629189.284748,{},[-3.19],{},[8.71],{},[0.07],{},[0.0],{}1677629189.284882
2023/03/01 00:06:29,logs_a,{},1677629189.400771,{},[-3.19],{},[8.71],{},[-0.21],{},[0.0],{}1677629189.400918
2023/03/01 00:06:29,logs_a,{},1677629189.5765288,{},[-3.48],{},[8.6],{},[0.3],{},[0.0],{}1677629189.576681
2023/03/01 00:06:29,logs_a,{},1677629189.7678165,{},[-3.19],{},[8.7],{},[-0.5],{},[0.0],{}1677629189.767946
2023/03/01 00:06:29,logs_a,{},1677629189.8442624,{},[-3.19],{},[8.7],{},[-0.5],{},[0.0],{}1677629189.844518
2023/03/01 00:06:29,logs_a,{},1677629189.9089105,{},[-3.19],{},[8.7],{},[-0.5],{},[0.0],{}1677629189.909052
